Artist Name,Track Name,Track ID,Value,Type
Alanis Morissette,vapor—amplified in stillness,5ecli7JnIyzyWy7WcA3Wqn,0.995,ac
Calvin Harris,Vault Character,48eVBJaOkFchY0yUlhTSC4,0,va
Childish Gambino,Playing Around Before the Party Starts,4yLg1biohoNlXT23qvzybA,0.995,ac
dodie,?,5hC3I8u2OyE8AR0Y6pRBpa,0.995,ac
Elliott Smith,Bye,5KAs3iI8oZKmF7IovGVjYR,0.994,ac
Elliott Smith,Bye,4JosyubgIpErAsvMKwph8n,0.995,ac
Fleetwood Mac,"Songbird - Instrumental, Take 10",3JR6wXMbEwhZiTUWy3VzZ2,0.995,ac
George Michael,Patience - Pt.2,1x5QIAUqR9jvMzQticXEsn,0.995,ac
James Blake,Give Me My Month,0wXiC2Qisd4DeehG8u6qqa,0.994,ac
John Lennon,My Mummy's Dead - Ultimate Mix,4kTjYI2W18dlYmymx4aWzT,0.996,ac
John Lennon,My Mummy's Dead - Take 2 / Out-take / Ultimate Mix,32kjwujmiktmgLLt4ylGQ5,0.994,ac
John Lennon,My Mummy's Dead - Elements Mix,3qKekr9qwgh9Y7mlhv3pKq,0.994,ac
Yoko Ono,Let Me Count The Ways - Remastered 2010,1dMOiWybjR5Puar2OPuFg4,0.994,ac
John Lennon,My Mummy's Dead - Remastered 2010,3cRTt4jCzcyRLe6nh6c5io,0.995,ac
M83,When Will You Come Home?,0ILPnIuTZ2TJ8pbYxmOHzF,0.996,ac
Outkast,Nathaniel,6NqUceA124QO9v5jYv0QCg,0.996,ac
Phoebe Bridgers,Smoke Signals (Reprise),4VmQEkVgdTcjn2ksGRZMAR,0.995,ac
Phoebe Bridgers,Smoke Signals (Reprise),2ooccp9hLwYzOgynSA0CcT,0.995,ac
Pink Floyd,"The Grand Vizier's Garden Party, Pt. 3 (Exit)",4Dk7ln90TotTGBCXpZYJEX,0.995,ac
Radiohead,MK 2,6Z467S228pBaUaAaMMBIHl,0.995,ac
Ruth B.,Holiday Interlude,46A7nOeFiooscc1sT71SLh,0.995,ac
Ruth B.,Holiday Interlude,6KCxnCRuM5C38ZLnI36uHH,0.995,ac
SAULT,Spirit Call,3MADDuXBgo9q35GblHoynD,0.995,ac
Sublime,Raleigh Soliloquy Pt. I,1dpoi57apNWeO9DNcyyLnV,0.994,ac
The Beatles,Yellow Submarine - Songwriting Work Tape / Part 1,5X5HVh2lDUfkUJLjkhavBL,0.994,ac
The Beatles,Yellow Submarine - Songwriting Work Tape / Part 2,2Ad5OYsHgZtklrmHlX6EXr,0.994,ac
The Killers,West Hills III,6TRe0Yfzd2c894P2BxgJux,0.994,ac
The Notorious B.I.G.,My Dad (Interlude),0ZvYLuNtKao1BejgWHGlmB,0.995,ac
U2,Near The Island - Instrumental / Remastered 2021,4DFf6tYvVq0EsODQ4iw86e,0.995,ac
Depeche Mode,Sonata No.14 in C#m (Moonlight Sonata) - 2006 Remaster,72O0jxrBsdGf3jd9684WMK,0.995,ac
Aminé,NEO,7onHzHeOVE3M9p0tNKQbXc,0.981,da
bbno$,mememe,5Ii1kY2dSOyMZpRGFa6NxO,0.975,da
Bob Marley & The Wailers,Soul Rebel - Afrodisiac Soundsystem Remix,3y0t6uVSWcHqT1pzBYH0V2,0.979,da
Chance the Rapper,Let it Snow,4nG5PFTgDtn76NKr52KfNX,0.977,da
Daft Punk,Teachers,4UHd9OG8OOPR2JEhXOVJgS,0.981,da
Daft Punk,Teachers,4ZdjCuiWBv2weLftWPJ72c,0.98,da
El Alfa,Goyard,47JF1eIg1ipsnf9C1gYz0H,0.977,da
El Alfa,Pa Pa Pa,3zPPVW9CBU3ytmH7ELjvQq,0.977,da
Flo Milli,Conceited,1LXbPMo6iXxAuQJsqCmHUY,0.984,da
Flo Milli,Pretty Girls,26nPLCWwBz8N8DRuKgg2tT,0.977,da
Flo Milli,Big Steppa,7sSGel3xQY5FJKDCObJ9VE,0.982,da
Flo Milli,Pay Day (feat. Rico Nasty),1S9qOCrpjPhHu1lf2Tup2C,0.979,da
Flo Milli,Conceited,3qKunud9sySc8qvQ3i84og,0.984,da
Flo Milli,Pretty Girls,2u3hKhl5ltq0gbFo8ivsbB,0.977,da
Flo Milli,Big Steppa,4wS4YABWUMDxcbImu3llWL,0.982,da
Flo Milli,Pay Day (feat. Rico Nasty),3T3UAYDMWKgg0aLsCmLtup,0.979,da
Gucci Mane,How I See It,4M0epsJu3EhfZs6CQyYSwu,0.976,da
M.I.A.,Jump In,59If4oVzSxz7ghf30axteY,0.986,da
Megan Thee Stallion,Kitty Kat,6DoGtGyDgv5mVxeCpP92tX,0.983,da
Milky Chance,Rush (feat. Témé Tan),44UZS0B4bIzmDa8JjMzCy2,0.974,da
Pitbull,Go Girl,6Ksb7nVVaNWKyuLzPfdyZD,0.986,da
Pitbull,Go Girl,5IbMUI4rcWtXlq83UWqTcQ,0.986,da
Rae Sremmurd,Chanel (feat. Swae Lee & Pharrell) - From Jxmtro,2W6JHG3KGGPv82Bi2hAnSz,0.98,da
Run–D.M.C.,Wake Up,2CwGWqDUOImtIn1vUl4i3r,0.982,da
Sean Paul,Don't Tease Me,2VkX2ovcu5nqF2ax4bT9v2,0.976,da
Rae Sremmurd,Chanel (feat. Swae Lee & Pharrell) - From Jxmtro,2W6JHG3KGGPv82Bi2hAnSz,0.98,da
Tiësto,Always Near - Extended Tiësto Beat Mix,5Xp4KGaQt6hrSi407TD8O7,0.976,da
Tyga,Glitta,6eKhUyog7OVjeR8jswqrC4,0.981,da
Juicy J,Testin,3a10dCqy1uBdMnekoMwDY7,0.98,da
Juicy J,Pop That Trunk,15Wr16fDha5kBhznv5YfRO,0.978,da
AFI,Two Of A Kind,2dHVJ38uK5AmAyl06MSBx6,0.997,en
Jack Ü,Jungle Bae (feat. Bunji Garlin & MX Prime),7yJzk64ul9PFgVFUYbEzZL,0.997,en
Disturbed,Intoxication,3Te8zwoSdO2BrhDVVwiqeY,0.997,en
DJ Snake,"Made In France (with Tchami & Malaa, feat. Mercer) - Nitti Gritti Remix",4F2qpMNKfaHVFUghq78FWH,-0.169,lo
Green Day,"The Grouch - Live at the Electric Factory, Philadelphia 11/14/97",2NLg9xI8l7a7MOG6E3ugkU,0.997,en
Green Day,Take Back,6C3nwiSeOjEPzw8P3Qz2ih,0.997,en
Green Day,Paper Lanterns,5TbJdu0jasNSuQRDkjIKax,0.996,en
Guns N' Roses,Garden Of Eden - 2022 Remaster,7vgCdQo44FWsOEZbstiTS2,0.999,en
Guns N' Roses,Garden Of Eden - 2022 Remaster,2dBm1u1etHm4UsZ17S4tSr,0.999,en
Guns N' Roses,Human Being,1lOuIyCsLqFwQFLFahWCC6,0.996,en
Guns N' Roses,Raw Power,2foNAckCzsyD0HJUbmhTZJ,0.996,en
