Artist,Album,Year,ID,,,,,,,,,,,,,,,,,,,,,
6LACK,Since I Have A Lover (Endel Sleep Soundscape),2023,3MTpz1Aq9wusq1G1Neyqci,,,,BLACKPINK,BLACKPINK 2021 'THE SHOW' LIVE,2021,58,53.6,https://i.scdn.co/image/ab67616d0000b273d5e4203a5e8167435a0b7561,5IDJBkr9EzMofENo4ScNxi,English,0.181,0.681,0.716,0,-5.175,0.6,0.115,120.418,0.525,0.156
AJR,Living Room (Spotify Track by Track Commentary),2015,7yXF3ARUh4rOs9p0DT0VVf,,,,,,,,,,,,,,,,,,,,,
Alicia Keys,No One (Remixes),2007,7cfKCPxLeKxSxePtCxckv6,,,,,,,,,,,,,,,,,,,,,
Alicia Keys,Queen Charlotte: A Bridgerton Story (Covers from the Netflix Series),2023,7mNtOnVVRglXpqt7ksdjc8,,,,,,,,,,,,,,,,,,,,,
All Time Low,It's Still Nothing Personal: A Ten Year Tribute,2019,6EV4w18ekpHnIZnK4i8NUX,,,,,,,,,,,,,,,,,,,,,
Amy Winehouse,AMY (Original Motion Picture Soundtrack),2015,5Fb59VtYjJNTXPcNGpoDU3,,,,,,,,,,,,,,,,,,,,,
Arcade Fire,Her (Original Score),2021,7xBJ2XXlDFfACXAnOE86t8,,,,,,,,,,,,,,,,,,,,,
Aretha Franklin,Aretha Franklin Sings The Great Diva Classics,2014,6GDaEPN935WkElYXTR6Ejd,,,,,,,,,,,,,,,,,,,,,
Aretha Franklin,The Genesis of Aretha: 1960-1966,2021,46rXeT9V36y4MaVgPWXlKf,,,,,,,,,,,,,,,,,,,,,
Aretha Franklin,The Genius of Aretha Franklin,2021,0mFH7N9HhSCzJ7Kd0qW29e,,,,,,,,,,,,,,,,,,,,,
Aretha Franklin,The Glory of Aretha: 1980-2014,2021,18AjhxTfNyhkQSj9x4DxCN,,,,,,,,,,,,,,,,,,,,,
Backstreet Boys,In a World Like This (Deluxe World Tour Edition),2014,5PL2I6jlo6cS30s3nq0ydv,,,,,,,,,,,,,,,,,,,,,
Barenaked Ladies,Barenaked Ladies Are Me,2006,5QebsBNZCfsHlbtZjKuzMB,,,,,,,,,,,,,,,,,,,,,
Barenaked Ladies,Barenaked Ladies Are Men,2007,2XZE8cC6IXifXjnZBA12W0,,,,,,,,,,,,,,,,,,,,,
Barenaked Ladies,Barenaked For The Holidays,2014,6IRBJEl3iDCSTwATVsQfzX,,,,,,,,,,,,,,,,,,,,,
Barenaked Ladies,Ladies and Gentlemen: Barenaked Ladies & the Persuasions,2017,1HvViqnJRyW0EdSVRuCBgq,,,,,,,,,,,,,,,,,,,,,
Bastille,MTV Unplugged,2023,3umAdFvO9bBfhvzg3mWgjY,,,,,,,,,,,,,,,,,,,,,
Beyoncé,The Lion King: The Gift,2019,552zi1M53PQAX5OH4FIdTx,,,,,,,,,,,,,,,,,,,,,
