Artist,Album,Year,Popularity,Duration,Cover,ID,Language,acousticness,danceability,energy,instrumentalness,loudness,mode,speechiness,tempo,valence,liveness
*NSYNC,Celebrity,2001,56,49.8,https://i.scdn.co/image/ab67616d0000b273270bccf2f538d6f170bd0e2d,7zBue2Vuzg4Z3ncRXaIkJg,English,0.119,0.711,0.738,0.0,-6.004,0.462,0.069,108.501,0.741,0.137
*NSYNC,No Strings Attached,2000,70,47.1,https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909,20RMokVwJ2wjQ0s8FOdOFC,English,0.165,0.651,0.8,0.007,-5.087,0.583,0.055,129.975,0.673,0.195
*NSYNC,Home For Christmas,1998,39,56.1,https://i.scdn.co/image/ab67616d0000b273ad88195f11e14785ebe8f6b8,6uIB97CqMcssTss9WrtX8c,English,0.253,0.522,0.624,0.0,-7.105,0.929,0.029,113.352,0.416,0.265
*NSYNC,'N Sync,1997,55,50.3,https://i.scdn.co/image/ab67616d0000b273583ce664168dca88fdc1c4c1,0CADmCXbIx4F9m6TBwLtFd,English,0.065,0.634,0.809,0.005,-5.113,0.615,0.05,113.898,0.644,0.264
*NSYNC,*NSYNC,1997,37,56.2,https://i.scdn.co/image/ab67616d0000b273301346c1ff7913b910915aad,0VoP8GVV2gfajU8IyocdRo,English,0.061,0.655,0.751,0.007,-8.282,0.786,0.042,122.963,0.704,0.294
*NSYNC,'N Sync UK Version,1997,34,52.8,https://i.scdn.co/image/ab67616d0000b273893b989aee977ce5794bd78e,6kqqmrKx3jC1IC8uj8nEAe,English,0.072,0.633,0.82,0.004,-5.279,0.643,0.05,107.12,0.676,0.306
100 gecs,"10,000 gecs",2023,65,26.9,https://i.scdn.co/image/ab67616d0000b27323c7a7224c1378fc3e6427cb,2XS5McKf3zdJWpcZ4OkZPZ,English,0.074,0.538,0.867,0.001,-2.619,0.5,0.231,124.446,0.548,0.226
100 gecs,1000 gecs and The Tree of Clues,2020,53,51.4,https://i.scdn.co/image/ab67616d0000b273f91a3040f0be854026ad2dd0,0qnExDZfz0kVeBjixPsyjS,English,0.254,0.527,0.703,0.054,-6.006,0.684,0.258,136.657,0.472,0.289
21 Savage,SAVAGE MODE II [CHOPPED NOT SLOPPED],2020,51,105.8,https://i.scdn.co/image/ab67616d0000b2732fafc0749fcd9d3ceb5f7a29,263anqt2ayA25jSEXfs0i1,English,0.118,0.764,0.539,0.061,-8.961,0.69,0.302,131.335,0.387,0.288
21 Savage,SAVAGE MODE II,2020,85,44.0,https://i.scdn.co/image/ab67616d0000b273aa57907bf0cb2ca0c8cc74bc,6wTyGUWGCilBFZ837k5aRi,English,0.128,0.734,0.621,0.093,-6.635,0.467,0.266,133.934,0.474,0.205
21 Savage,i am > i was (Deluxe),2018,62,55.0,https://i.scdn.co/image/ab67616d0000b273ca29f023b5d11f85de854f1b,6guJZpZ52v4MrJKIH7tASl,English,0.044,0.854,0.573,0.0,-7.037,0.625,0.272,129.209,0.392,0.206
21 Savage,i am > i was,2018,80,51.1,https://i.scdn.co/image/ab67616d0000b273280689ecc5e4b2038bb5e4bd,007DWn799UWvfY1wwZeENR,English,0.046,0.872,0.569,0.0,-7.148,0.667,0.254,126.265,0.413,0.177
21 Savage,Without Warning,2017,78,33.5,https://i.scdn.co/image/ab67616d0000b2730db43130a9aaa7bae56967ed,0MV1yCXcNNQBfwApqAVkH0,English,0.264,0.828,0.388,0.164,-7.803,0.7,0.246,127.365,0.217,0.164
21 Savage,Issa Album,2017,71,56.6,https://i.scdn.co/image/ab67616d0000b2732719343298d0e4f1790e14cd,4skCiJhVVSKrDOBtoFbsxU,English,0.158,0.835,0.466,0.097,-10.128,0.429,0.344,134.645,0.3,0.148
21 Savage,Savage Mode,2016,71,32.4,https://i.scdn.co/image/ab67616d0000b2732dd1ac4a61495080ef8f78ca,4I3EcXD4e3KcEoDJfFEZ5b,English,0.131,0.816,0.435,0.077,-9.264,0.333,0.29,142.35,0.247,0.153
21 Savage,Slaughter King,2016,54,48.9,https://i.scdn.co/image/ab67616d0000b2733d945468825e08e5743d244e,1HSyuTHvLXMWyPJQGnQTLw,English,0.094,0.804,0.583,0.02,-8.761,0.429,0.302,131.062,0.364,0.165
21 Savage,The Slaughter Tape,2016,43,47.6,https://i.scdn.co/image/ab67616d0000b2734cd4d4a0f03555d9fe8e55f4,3l2umvdEq50qZ5fmw4iHcI,English,0.121,0.816,0.55,0.0,-8.182,0.5,0.205,133.625,0.318,0.179
24kGoldn,El Dorado,2021,74,36.8,https://i.scdn.co/image/ab67616d0000b27384c53fa832dfa265192419c5,270o30h7cAlEhBnbuSpFZq,English,0.24,0.716,0.675,0.0,-3.763,0.231,0.081,126.114,0.531,0.168
24kGoldn,DROPPED OUTTA COLLEGE,2019,46,26.4,https://i.scdn.co/image/ab67616d0000b273574d6b3636e7ed59705a0e56,5rzC2qD1N9J071WZdQIM8j,English,0.119,0.742,0.617,0.0,-5.901,0.5,0.171,134.33,0.521,0.133
